dataset,model,seed,anchor_rule,normalization,relative_threshold,standardize,feature,kind,raw_block_dimension,empirical_rank,singular_values,relative_rank_threshold,anchor_count,anchor_indices,pivot_rank,anchor_gram_condition_number,anchor_gram_effective_condition_number,coordinate_dimension,reconstruction_error,global_rms_scale,standardized,constant_coordinates
steel-plates-fault,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V25,continuous,8,8,"[29.413000807013837, 21.400396210984912, 16.02862511460314, 9.453446255828228, 5.511769718008225, 3.470729066115495, 1.677586400891775, 0.495144978496351]",0.0001,8,"[275, 68, 367, 715, 212, 468, 106, 230]",8,6160.666253354919,6160.666253357639,8,1.1601116134429774e-14,1.0,True,0
steel-plates-fault,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V26,continuous,8,8,"[36.245727311721105, 18.819362355500864, 10.576940921729753, 5.3496115831114235, 2.067975048960162, 1.4227374821324863, 1.3509533559550428, 0.22302525406865498]",0.0001,8,"[129, 286, 828, 201, 883, 903, 181, 816]",8,13372.901773176996,13372.90177318941,8,1.1783640757721867e-14,1.0,True,0
steel-plates-fault,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V27,continuous,8,7,"[33.402216002625096, 26.87900430291512, 11.811947284310095, 8.068784083874535, 4.302747065505656, 0.8120929554434994, 0.049377871071537606, 1.2387194191074803e-15]",0.0001,7,"[69, 12, 164, 1011, 336, 637, 1022]",7,132472.23376375265,132472.23376380143,7,1.3164988818908753e-13,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V1,continuous,8,7,"[43.93706731186612, 22.16979507483453, 12.437898618853042, 6.934360384288078, 2.920403396552183, 0.9938916662191766, 0.05814347371120844, 0.0008065055408117658]",0.0001,7,"[813, 407, 972, 49, 432, 589, 91]",7,627795.3923299832,627795.392445518,7,1.562541391820783e-05,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V2,continuous,8,7,"[43.93887130305502, 22.37922251500703, 12.162036789807498, 6.656719424721911, 3.0524416534225787, 1.166243841980208, 0.10016246111093254, 0.0030997526611918464]",0.0001,7,"[273, 472, 978, 629, 590, 187, 471]",7,144950.35352824102,144950.3535286576,7,5.977921021494081e-05,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V3,continuous,8,8,"[31.723618181540765, 19.482667494872853, 12.346315984620063, 7.797658874001304, 4.672010168513998, 1.6419265072031526, 1.4150847503815027, 0.22403020454102474]",0.0001,8,"[410, 679, 369, 79, 447, 766, 118, 333]",8,29471.2118987042,29471.211898631624,8,2.3362771278652595e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V4,continuous,8,8,"[31.724731471086294, 19.482858048196633, 12.34611016061402, 7.797633514979985, 4.671446559655016, 1.6419428603015316, 1.4147402886600942, 0.22396305575527442]",0.0001,8,"[410, 679, 369, 79, 447, 766, 118, 333]",8,29490.649365044443,29490.64936505862,8,1.3876302409321144e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V5,continuous,8,8,"[39.631062722894555, 12.460372705666607, 5.277109790556888, 3.906771288481482, 1.9986314762081938, 1.0, 0.6011254376757824, 0.04122724240397012]",0.0001,8,"[753, 212, 491, 268, 128, 336, 729, 888]",8,504471.05192422366,504471.051916375,8,7.051171742350449e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V6,continuous,8,8,"[39.674304921440104, 12.910178271485908, 7.6850058585806345, 4.228835040400289, 3.7079308866936196, 1.0, 0.5737775434057726, 0.037860312818404934]",0.0001,8,"[17, 614, 212, 317, 66, 336, 95, 158]",8,583836.9525920924,583836.952599955,8,8.118364057451415e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V7,continuous,8,8,"[37.34431882161775, 13.389452988235403, 6.4936963800595455, 6.381819567673927, 4.6587124081328195, 1.005118773722673, 1.0, 0.07200923698359943]",0.0001,8,"[32, 212, 308, 181, 13, 336, 15, 62]",8,196940.29045207452,196940.29045192877,8,6.316641555873652e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V8,continuous,8,8,"[38.45662740618848, 12.875753035163294, 6.261894339047953, 4.287022154257495, 1.061173303737055, 1.0, 0.7674673967093895, 0.05776726714779716]",0.0001,8,"[845, 212, 480, 79, 361, 355, 445, 433]",8,232081.5885657691,232081.58856535194,8,5.1121594625878914e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V9,continuous,8,8,"[36.96632496793356, 17.512811348833303, 12.707651106676488, 5.951835912818251, 3.2508603362129267, 2.433154629367199, 1.5664631684345829, 0.2015094219584045]",0.0001,8,"[3, 24, 212, 200, 116, 188, 114, 207]",8,21169.333647201976,21169.333647173127,8,1.406541455990325e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V10,continuous,8,8,"[34.97113242960436, 19.39291504040935, 9.731127214744877, 5.679962548527896, 1.8202787335620843, 1.3765316257952016, 0.8295185692677293, 0.2060830044812224]",0.0001,8,"[45, 468, 765, 879, 85, 41, 476, 462]",8,26408.875890506657,26408.875890553718,8,3.209182471213279e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V11,continuous,8,7,"[48.40626655604268, 20.138370497971113, 4.937967177419695, 3.2979163856559977, 1.4944387632989724, 1.0208539593868857, 0.08400449881927555, 0.0009387706591547866]",0.0001,7,"[46, 571, 600, 463, 56, 215, 631]",7,21870.124310996172,21870.124310932213,7,1.7732045946564027e-05,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V14,continuous,8,6,"[45.538479831815, 23.458540668796623, 8.219561254084727, 4.690827424518135, 1.4872175943473542, 0.13784323801449777, 8.134845404176074e-15, 3.4942328087628036e-17]",0.0001,6,"[16, 564, 776, 32, 10, 427]",6,38820.852833746074,38820.85283382057,6,4.0759779869270586e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V15,continuous,8,7,"[40.44401434571029, 16.429519350233054, 13.442332617360288, 8.94712811005249, 5.342949993020605, 2.6456734350519904, 0.38149597349261666, 0.0038749056137019665]",0.0001,7,"[283, 155, 465, 618, 835, 132, 91]",7,11193.330447974076,11193.330447969829,7,8.257791514494117e-05,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V16,continuous,8,8,"[32.92702810182371, 19.88510411212426, 12.489852006494333, 5.969375587716887, 2.2551233129610866, 2.1112758811843695, 1.732473891266145, 0.4450040534429979]",0.0001,8,"[438, 21, 1014, 212, 336, 47, 439, 44]",8,9282.255800308412,9282.255800305242,8,9.755151877294134e-15,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V17,continuous,8,8,"[27.198551769404663, 23.48533677410676, 14.574582561614692, 9.266509384120013, 6.420022549603966, 4.072760537923809, 1.616246401808343, 0.8042669431715449]",0.0001,8,"[326, 245, 25, 212, 429, 624, 105, 611]",8,797.3794555123638,797.3794555123287,8,5.4580139010521036e-15,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V18,continuous,8,8,"[40.54868306743958, 13.029473496907386, 8.029362432572503, 4.535089215316597, 3.2982570720999074, 1.0000000000266533, 0.5422895490615997, 0.031110025252120897]",0.0001,8,"[1, 582, 216, 387, 336, 438, 38, 995]",8,547707.1310856536,547707.1310678873,8,1.9285943252966136e-13,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V19,continuous,8,8,"[30.688431115711193, 19.49637554914373, 14.996533287900824, 9.67999516343299, 5.276856088358574, 3.3378031377367794, 1.992972311610481, 0.4623979523317383]",0.0001,8,"[147, 985, 794, 212, 253, 855, 98, 10]",8,5468.5861996652775,5468.586199665302,8,2.4590252163038804e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V20,continuous,8,6,"[55.13532825201263, 20.341886902800496, 7.3328268206723, 3.579839178857451, 1.2304780189283155, 0.023774459479216664, 1.0046257123004893e-14, 5.9578244367007765e-15]",0.0001,6,"[194, 804, 728, 139, 713, 996]",6,2654362.4237895655,2654362.4239687044,6,4.575558661943448e-13,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V22,continuous,8,8,"[41.17120585678695, 15.239856835103446, 12.13300494253512, 5.2380803846899475, 1.5770973228298908, 1.1079473546453342, 0.9887832302580939, 0.0975317382982088]",0.0001,8,"[606, 480, 212, 336, 393, 399, 42, 401]",8,46141.40226909948,46141.402269081525,8,2.4894798639211265e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V23,continuous,8,8,"[40.96784100791186, 15.157708409086133, 12.605475558445136, 5.066806836859389, 2.3909503286127505, 1.9666050546262592, 0.9448615584547747, 0.07072861911131441]",0.0001,8,"[2, 156, 336, 216, 284, 7, 121, 402]",8,80653.50870656922,80653.50870676247,8,6.614328399853163e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V24,continuous,8,8,"[34.75573287873272, 20.561709606481102, 11.251383002431897, 4.5008524196938104, 1.652796035103249, 1.5820384616738685, 1.0, 0.3257517010336745]",0.0001,8,"[32, 386, 336, 212, 49, 285, 131, 141]",8,18844.780734600987,18844.78073459158,8,3.6759911610126465e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V25,continuous,8,8,"[29.413000807013837, 21.400396210984912, 16.02862511460314, 9.453446255828228, 5.511769718008225, 3.470729066115495, 1.677586400891775, 0.495144978496351]",0.0001,8,"[275, 68, 367, 715, 212, 468, 106, 230]",8,6160.666253354919,6160.666253357639,8,1.1601116134429774e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V26,continuous,8,8,"[36.245727311721105, 18.819362355500864, 10.576940921729753, 5.3496115831114235, 2.067975048960162, 1.4227374821324863, 1.3509533559550428, 0.22302525406865498]",0.0001,8,"[129, 286, 828, 201, 883, 903, 181, 816]",8,13372.901773176996,13372.90177318941,8,1.1783640757721867e-14,1.0,True,0
steel-plates-fault,tabm_d,1,rank,N1_anchor_norm,0.0001,True,V27,continuous,8,7,"[33.402216002625096, 26.87900430291512, 11.811947284310095, 8.068784083874535, 4.302747065505656, 0.8120929554434994, 0.049377871071537606, 1.2387194191074803e-15]",0.0001,7,"[69, 12, 164, 1011, 336, 637, 1022]",7,132472.23376375265,132472.23376380143,7,1.3164988818908753e-13,1.0,True,0
wilt,tabm_d,0,rank,N1_anchor_norm,0.0001,True,GLCM_Pan,continuous,8,8,"[31.24595563974243, 20.17091771313485, 12.092295338195354, 6.161069842592496, 2.5978073419911243, 1.4289381191442316, 1.0833569994515522, 0.5989118671348544]",0.0001,8,"[268, 12, 937, 230, 235, 576, 966, 391]",8,1354.1934371173622,1354.1934371173309,8,3.871977794823204e-15,1.0,True,0
wilt,tabm_d,0,rank,N1_anchor_norm,0.0001,True,Mean_G,continuous,8,8,"[35.61683058487377, 18.881269015499054, 10.9735422911357, 5.403576662250911, 3.38258321745696, 1.5184482675647228, 1.0, 0.23476586149052864]",0.0001,8,"[680, 576, 986, 815, 285, 367, 836, 631]",8,9696.824271986472,9696.824271981577,8,1.6882664729187557e-14,1.0,True,0
wilt,tabm_d,0,rank,N1_anchor_norm,0.0001,True,Mean_R,continuous,8,8,"[36.27883286074229, 17.82322123677008, 9.987575868476169, 6.4076558013818445, 4.076235403194394, 1.292967541484323, 1.0000000000000397, 0.18259565369385042]",0.0001,8,"[356, 875, 962, 815, 803, 391, 903, 428]",8,46708.83518332375,46708.83518340436,8,2.198407188227906e-14,1.0,True,0
wilt,tabm_d,0,rank,N1_anchor_norm,0.0001,True,Mean_NIR,continuous,8,8,"[31.248157389191707, 20.936425472094786, 11.987027069079858, 6.669208543871408, 2.5201444535478874, 2.3571483474156802, 2.0137991894211615, 0.6162290477165446]",0.0001,8,"[591, 741, 782, 134, 105, 612, 992, 809]",8,3466.756956847856,3466.756956847343,8,7.780266959404898e-15,1.0,True,0
wilt,tabm_d,0,rank,N1_anchor_norm,0.0001,True,SD_Plan,continuous,8,8,"[29.477929015502493, 19.1674008469542, 12.189075326513668, 6.9568733658158015, 3.1076238073310622, 1.293273877647424, 1.000000186495827, 0.8315203428410893]",0.0001,8,"[625, 913, 946, 844, 235, 40, 252, 753]",8,2987.5170870208476,2987.517087021531,8,5.961968428144902e-15,1.0,True,0
wilt,tabm_d,1,rank,N1_anchor_norm,0.0001,True,GLCM_Pan,continuous,8,8,"[31.24595563974243, 20.17091771313485, 12.092295338195354, 6.161069842592496, 2.5978073419911243, 1.4289381191442316, 1.0833569994515522, 0.5989118671348544]",0.0001,8,"[268, 12, 937, 230, 235, 576, 966, 391]",8,1354.1934371173622,1354.1934371173309,8,3.871977794823204e-15,1.0,True,0
wilt,tabm_d,1,rank,N1_anchor_norm,0.0001,True,Mean_G,continuous,8,8,"[35.61683058487377, 18.881269015499054, 10.9735422911357, 5.403576662250911, 3.38258321745696, 1.5184482675647228, 1.0, 0.23476586149052864]",0.0001,8,"[680, 576, 986, 815, 285, 367, 836, 631]",8,9696.824271986472,9696.824271981577,8,1.6882664729187557e-14,1.0,True,0
wilt,tabm_d,1,rank,N1_anchor_norm,0.0001,True,Mean_R,continuous,8,8,"[36.27883286074229, 17.82322123677008, 9.987575868476169, 6.4076558013818445, 4.076235403194394, 1.292967541484323, 1.0000000000000397, 0.18259565369385042]",0.0001,8,"[356, 875, 962, 815, 803, 391, 903, 428]",8,46708.83518332375,46708.83518340436,8,2.198407188227906e-14,1.0,True,0
wilt,tabm_d,1,rank,N1_anchor_norm,0.0001,True,Mean_NIR,continuous,8,8,"[31.248157389191707, 20.936425472094786, 11.987027069079858, 6.669208543871408, 2.5201444535478874, 2.3571483474156802, 2.0137991894211615, 0.6162290477165446]",0.0001,8,"[591, 741, 782, 134, 105, 612, 992, 809]",8,3466.756956847856,3466.756956847343,8,7.780266959404898e-15,1.0,True,0
wilt,tabm_d,1,rank,N1_anchor_norm,0.0001,True,SD_Plan,continuous,8,8,"[29.477929015502493, 19.1674008469542, 12.189075326513668, 6.9568733658158015, 3.1076238073310622, 1.293273877647424, 1.000000186495827, 0.8315203428410893]",0.0001,8,"[625, 913, 946, 844, 235, 40, 252, 753]",8,2987.5170870208476,2987.517087021531,8,5.961968428144902e-15,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V1,continuous,8,8,"[30.49738773845803, 17.41727765296808, 9.156153372382962, 7.190993591822369, 3.237380970470454, 2.329492742767183, 1.0000004524490287, 0.7564550782844814]",0.0001,8,"[34, 271, 1, 12, 169, 67, 38, 956]",8,2362.2724437580473,2362.2724437579386,8,8.505199518114442e-15,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V2,continuous,8,8,"[31.97029661381492, 17.581263128522345, 11.333166200770963, 6.785197941937698, 3.0363492708747946, 1.4390404578940572, 1.1438028159640246, 0.5709328798636456]",0.0001,8,"[130, 146, 137, 12, 16, 42, 441, 196]",8,10577.99307168825,10577.993071696415,8,7.47560558482627e-15,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V3,continuous,8,8,"[38.71428283631977, 19.259579315565677, 10.146307692951252, 3.0437158300992406, 2.2913102405583756, 1.3973747712042741, 0.9495235066877937, 0.0957146677149866]",0.0001,8,"[23, 16, 721, 987, 104, 168, 61, 711]",8,64547.73370860013,64547.73370841232,8,6.299277867165979e-14,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V4,continuous,8,8,"[31.856937604346445, 20.10680552363987, 12.392033123834983, 4.699689813172232, 1.8388943234432416, 1.7594403670580467, 1.2946745625661085, 0.46967475610170845]",0.0001,8,"[100, 33, 9, 16, 721, 2, 34, 57]",8,3470.197656795624,3470.197656795083,8,5.76279723723188e-15,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V5,continuous,8,8,"[31.447844590889016, 19.958015487263136, 11.439296575188052, 5.9728436461622, 2.917317595664683, 2.3388140846425256, 1.0039660548740346, 0.5529975797862293]",0.0001,8,"[2, 12, 416, 721, 24, 111, 345, 146]",8,2117.85556166783,2117.8555616677754,8,8.405859829771199e-15,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V6,continuous,8,8,"[39.36356046078212, 17.874310520049416, 10.427109547041596, 4.16638163357004, 2.138378738112745, 1.4142135624206145, 0.9960681597337024, 0.09080944172983427]",0.0001,8,"[62, 64, 73, 721, 6, 67, 19, 326]",8,218470.6522204811,218470.65222196793,8,7.22888496361829e-14,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V7,continuous,8,8,"[28.650062962673516, 18.99286508609882, 12.019673472373604, 7.24085258481562, 3.3494568155022177, 1.7435307346014135, 1.0635915606152604, 0.9656271304498536]",0.0001,8,"[141, 160, 10, 721, 252, 210, 167, 128]",8,3560.126428947312,3560.126428947187,8,9.300684068177607e-15,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V8,continuous,8,8,"[33.93983689867996, 19.446074582281465, 11.566571428016251, 5.514178759863108, 2.785895774446247, 1.8875432344934815, 1.0091669460013424, 0.3449141239291649]",0.0001,8,"[75, 314, 92, 721, 219, 36, 80, 111]",8,14373.925990530366,14373.925990529113,8,3.230070291166675e-14,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V9,continuous,8,8,"[35.998786995616754, 19.39512953368541, 11.029610758838865, 5.030255149134236, 1.4726558289876812, 1.2070206483424575, 1.0008165236497968, 0.23666576374575687]",0.0001,8,"[80, 50, 144, 608, 721, 53, 241, 47]",8,14658.477541006409,14658.477540993334,8,1.5805371074187005e-14,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V10,continuous,8,8,"[36.3033950856744, 19.140499205196846, 10.781526408176836, 4.897019239430956, 2.1265400268637102, 1.4859829272000478, 1.0611719858483808, 0.2258846438317437]",0.0001,8,"[32, 18, 93, 278, 721, 17, 28, 752]",8,39760.566999365044,39760.56699935798,8,1.5026311346749615e-14,1.0,True,0
eeg-eye-state,tabm_d,0,rank,N1_anchor_norm,0.0001,True,V11,continuous,8,8,"[34.822217447972456, 19.098364729053866, 10.34864589465269, 5.4886105215333085, 1.6210376691411188, 1.4310865947522138, 1.0006859097585101, 0.2980315764979516]",0.0001,8,"[125, 313, 165, 389, 721, 96, 34, 355]",8,15145.233319378316,15145.233319392426,8,1.458493195677643e-14,1.0,True,0
