dataset,problem_type,model,seed,embedding,k,method,split,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,fixed_coordinate_error,rank_coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
steel-plates-fault,classification,controlled_mlp,0,PLE,8,Raw embedding,validation,0.0,True,0.02957577085532742,0.02957577085532742,0.0,2.1564628234719632e-15,1.4128351646985961e-15,0.0,0.004558137890676894,0.004558137890676894,0.6459857848778665,0.0,0.0,0.6414276469871896,0.0,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,Raw embedding,test,0.0,True,0.03934244198531908,0.03934244198531908,0.0,2.1564628234719632e-15,1.4128351646985961e-15,0.0,0.005849078136784801,0.005849078136784801,0.6455976337440515,0.0,0.0,0.6397485556072667,0.0,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,Gram-after-embedding,validation,1.0,False,0.02957577085532742,0.0,1.0,2.1564628234719632e-15,1.4128351646985961e-15,0.23803546209819615,0.004558137890676894,0.0014554836216669627,0.6459857848778665,-0.003102654269009931,-0.6806846004716149,0.6414276469871896,-0.004837107168023109,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,Gram-after-embedding,test,1.0,False,0.03934244198531908,0.0,1.0,2.1564628234719632e-15,1.4128351646985961e-15,0.23803546209819615,0.005849078136784801,0.0004714425601345538,0.6455976337440515,-0.005377635576650247,-0.9193988267707255,0.6397485556072667,-0.008405858097710982,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,validation,1.0,False,0.02957577085532742,0.0,1.0,2.1564628234719632e-15,1.4128351646985961e-15,0.0820406039711088,0.004558137890676894,0.09348670329978084,0.6459857848778665,0.08892856540910395,19.509845367117197,0.6414276469871896,0.13864161581872073,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,RankAdaptiveGram-after-embedding,test,1.0,False,0.03934244198531908,0.0,1.0,2.1564628234719632e-15,1.4128351646985961e-15,0.0820406039711088,0.005849078136784801,0.04933895087552977,0.6455976337440515,0.043489872738744974,7.435337966377564,0.6397485556072667,0.0679796341196319,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,SafeGram-after-embedding,validation,1.0,False,0.02957577085532742,0.0,1.0,2.1564628234719632e-15,1.4128351646985961e-15,0.23803546209819615,0.004558137890676894,0.0014554836216669627,0.6459857848778665,-0.003102654269009931,-0.6806846004716149,0.6414276469871896,-0.004837107168023109,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,SafeGram-after-embedding,test,1.0,False,0.03934244198531908,0.0,1.0,2.1564628234719632e-15,1.4128351646985961e-15,0.23803546209819615,0.005849078136784801,0.0004714425601345538,0.6455976337440515,-0.005377635576650247,-0.9193988267707255,0.6397485556072667,-0.008405858097710982,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,SafeRankGram prediction hybrid,validation,0.0,True,0.02957577085532742,0.02957577085532742,0.0,2.1564628234719632e-15,1.4128351646985961e-15,0.0820406039711088,0.004558137890676894,0.004558137890676894,0.6459857848778665,0.0,0.0,0.6414276469871896,0.0,False
steel-plates-fault,classification,controlled_mlp,0,PLE,8,SafeRankGram prediction hybrid,test,0.0,True,0.03934244198531908,0.03934244198531908,0.0,2.1564628234719632e-15,1.4128351646985961e-15,0.0820406039711088,0.005849078136784801,0.005849078136784801,0.6455976337440515,0.0,0.0,0.6397485556072667,0.0,False
