panel,dataset,problem_type,model,seed,method,split,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,maximum_coordinate_error,median_empirical_rank,median_anchor_count,total_coordinate_dimension,maximum_reconstruction_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
development,steel-plates-fault,classification,controlled_mlp,0,RankAdaptiveGram,validation,1.0,False,0.010918418126008255,0.0,1.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.260083288885653,2.678164835674249e-05,0.35674752781299207,0.6459857848778665,0.35672074616463534,13319.596367369528,0.6459590032295097,0.5522343436366537,False
development,steel-plates-fault,classification,controlled_mlp,0,RankAdaptiveGram,test,1.0,False,0.014531851562611262,0.0,1.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.260083288885653,2.29065532434954e-05,0.2661430426985655,0.6455976337440515,0.266120136145322,11617.64204839024,0.6455747271908081,0.412222047946847,False
development,steel-plates-fault,classification,controlled_mlp,0,SafeRankGram-t01,validation,0.0,True,0.010918418126008255,0.010918418126008255,0.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.260083288885653,2.678164835674249e-05,2.678164835674249e-05,0.6459857848778665,0.0,0.0,0.6459590032295097,0.0,False
development,steel-plates-fault,classification,controlled_mlp,0,SafeRankGram-t01,test,0.0,True,0.014531851562611262,0.014531851562611262,0.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.260083288885653,2.29065532434954e-05,2.29065532434954e-05,0.6455976337440515,0.0,0.0,0.6455747271908081,0.0,False
development,steel-plates-fault,classification,controlled_mlp,1,RankAdaptiveGram,validation,1.0,False,0.00271712148573724,0.0,1.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.188818747876212,0.00038530863263939785,0.40190083850400055,0.6459857848778665,0.40151552987136113,1042.0621181543343,0.6456004762452271,0.6219257027295749,False
development,steel-plates-fault,classification,controlled_mlp,1,RankAdaptiveGram,test,1.0,False,0.02737617480997831,0.0,1.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.188818747876212,0.0014089876937921665,0.3237732353515322,0.6455976337440515,0.32236424765774,228.79138623995004,0.6441886460502594,0.500419014886812,False
development,steel-plates-fault,classification,controlled_mlp,1,SafeRankGram-t01,validation,0.0,True,0.00271712148573724,0.00271712148573724,0.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.188818747876212,0.00038530863263939785,0.00038530863263939785,0.6459857848778665,0.0,0.0,0.6456004762452271,0.0,False
development,steel-plates-fault,classification,controlled_mlp,1,SafeRankGram-t01,test,0.0,True,0.02737617480997831,0.02737617480997831,0.0,1.692015830712507e-15,8.0,8.0,202,8.257791514494117e-05,0.188818747876212,0.0014089876937921665,0.0014089876937921665,0.6455976337440515,0.0,0.0,0.6441886460502594,0.0,False
development,wilt,classification,controlled_mlp,0,RankAdaptiveGram,validation,1.0,False,0.05522822630839508,0.0,1.0,1.4584628754009917e-15,8.0,8.0,40,2.198407188227906e-14,0.27584335091523826,0.023241521350602992,0.058695065139608274,0.21210188110406236,0.03545354378900528,1.525439890710315,0.18886035975345938,0.18772358495603192,False
development,wilt,classification,controlled_mlp,0,RankAdaptiveGram,test,1.0,False,0.06340120549194245,0.0,1.0,1.4584628754009917e-15,8.0,8.0,40,2.198407188227906e-14,0.27584335091523826,0.05917130684909719,0.03790526081947132,0.21210188110406236,-0.021266046029625868,-0.3593979440721164,0.15293057425496517,-0.1390568637646728,False
