scope,dataset,problem_type,model,embedding,k,method,family,seeds_included,selected_alpha,invariant_feature_fraction,disagreement_reduction,normalized_excess_risk,raw_task_error,method_task_error,trivial_task_error,raw_fallback,inference_multiplier,validation_C,predictive_rank,task_outcome
embedding,2dplanes,regression,controlled_mlp,RBF,16,Gram-after-RBF-k16 embedding,embedding_baseline,3,1.0,,0.0,0.009820764150753336,1.028845063438846,1.0448724843672368,4.3739142822513895,False,1.0,0.007969599989179758,4.0,L
embedding,2dplanes,regression,controlled_mlp,RBF,16,GuardedGram-G2-after-RBF-k16,embedding_G2,3,0.75,,0.0,0.0018959125797824111,1.028845063438846,1.0316842569825528,4.3739142822513895,False,2.0,0.0021653098993977826,2.5,L
embedding,2dplanes,regression,controlled_mlp,RBF,16,Raw RBF-k16 embedding,embedding_baseline,3,0.0,,0.0,0.0,1.028845063438846,1.028845063438846,4.3739142822513895,True,1.0,0.0,1.0,T
embedding,2dplanes,regression,controlled_mlp,RBF,16,Raw+Gram@0.75 RBF-k16 embedding,embedding_baseline,3,0.75,,0.0,0.0018959125797824111,1.028845063438846,1.0316842569825528,4.3739142822513895,False,2.0,0.0021653098993977826,2.5,L
embedding,2dplanes,regression,resnet_tabular,RBF,16,Gram-after-RBF-k16 embedding,embedding_baseline,3,1.0,,0.0,0.00196887347259745,1.1142454866381495,1.120663362059286,4.3739142822513895,False,1.0,0.011387224680259057,4.0,L
embedding,2dplanes,regression,resnet_tabular,RBF,16,GuardedGram-G2-after-RBF-k16,embedding_G2,3,0.75,,0.0,-0.0080467716046264,1.1142454866381495,1.0812180856548685,4.3739142822513895,False,2.0,-0.0009174434647893056,1.5,W
embedding,2dplanes,regression,resnet_tabular,RBF,16,Raw RBF-k16 embedding,embedding_baseline,3,0.0,,0.0,0.0,1.1142454866381495,1.1142454866381495,4.3739142822513895,True,1.0,0.0,3.0,T
embedding,2dplanes,regression,resnet_tabular,RBF,16,Raw+Gram@0.75 RBF-k16 embedding,embedding_baseline,3,0.75,,0.0,-0.0080467716046264,1.1142454866381495,1.0812180856548685,4.3739142822513895,False,2.0,-0.0009174434647893056,1.5,W
embedding,2dplanes,regression,tabm_d,RBF,16,Gram-after-RBF-k16 embedding,embedding_baseline,3,1.0,,0.0,0.006774129801891463,0.9801542418833351,1.0031440129132607,4.3739142822513895,False,1.0,0.0059748946710421165,4.0,L
embedding,2dplanes,regression,tabm_d,RBF,16,GuardedGram-G2-after-RBF-k16,embedding_G2,3,0.75,,0.0,0.0034972382418943094,0.9801542418833351,0.991921705157384,4.3739142822513895,False,2.0,0.003015181468733685,2.5,L
embedding,2dplanes,regression,tabm_d,RBF,16,Raw RBF-k16 embedding,embedding_baseline,3,0.0,,0.0,0.0,0.9801542418833351,0.9801542418833351,4.3739142822513895,True,1.0,0.0,1.0,T
