ranking,rank,scope,method,family,units,datasets,model_families,median_alpha,median_invariant_feature_fraction,p25_disagreement_reduction,median_disagreement_reduction,p75_disagreement_reduction,median_C,p90_C,p95_C,max_C,wins,ties,losses,fraction_C_lt_0,fraction_C_gt_0p01,fraction_C_gt_0p05,fallback_rate,mean_predictive_rank,inference_multiplier,minimum_seeds_per_unit,training_multiplier,parameter_multiplier,paper_score
D — Predictive Performance,7,general,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,3,1.0,1.0,0.0
D — Predictive Performance,8,general,BlockGuard-Greedy-t01,BlockGuard-Greedy,60,12,5,,0.875,0.09089795076023294,0.7219026058640082,1.0,0.0,0.010837112884274273,0.020325156564873582,0.07375309550384934,27,6,27,0.45,0.13333333333333333,0.016666666666666666,0.26666666666666666,5.258333333333334,1.0,3,23.5,1.0,0.6434209451616888
D — Predictive Performance,9,general,PureGram,fixed,60,12,5,1.0,,1.0,1.0,1.0,0.0028057865481635183,0.023345051908637626,0.04199893248252369,0.10236520561401727,24,0,36,0.4,0.3,0.03333333333333333,0.0,6.241666666666666,1.0,3,1.0,1.0,0.7908554316799039
E — Efficiency,1,general,PureGram,fixed,60,12,5,1.0,,1.0,1.0,1.0,0.0028057865481635183,0.023345051908637626,0.04199893248252369,0.10236520561401727,24,0,36,0.4,0.3,0.03333333333333333,0.0,6.241666666666666,1.0,3,1.0,1.0,0.7908554316799039
E — Efficiency,2,general,BlockGuard-Greedy-t01,BlockGuard-Greedy,60,12,5,,0.875,0.09089795076023294,0.7219026058640082,1.0,0.0,0.010837112884274273,0.020325156564873582,0.07375309550384934,27,6,27,0.45,0.13333333333333333,0.016666666666666666,0.26666666666666666,5.258333333333334,1.0,3,23.5,1.0,0.6434209451616888
E — Efficiency,3,general,GuardedGram-G2-g0p0-t01,G2,60,12,5,0.75,,0.5000000032847328,0.75,0.75,-0.0015429733208479428,0.0044523414483534935,0.006240983498082817,0.007776685174232934,33,3,24,0.5666666666666667,0.0,0.0,0.13333333333333333,3.725,2.0,3,2.0,2.0,0.7
E — Efficiency,4,general,Raw+Gram@0.75,fixed,60,12,5,0.75,,0.75,0.75,0.75,-0.0012476968712435592,0.009824363840537073,0.01897396642783858,0.06283305839194868,30,0,30,0.5166666666666667,0.1,0.016666666666666666,0.0,4.458333333333333,2.0,3,2.0,2.0,0.6474119839325869
E — Efficiency,5,RBF-k16 embedding,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.014879570034488216,0.0009215682546608411,0.0017642761293988223,0.0035632696714541262,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,3,2.0,2.0,0.7
E — Efficiency,6,general,Raw+Gram@0.5,fixed,60,12,5,0.5,,0.5,0.5,0.5,-0.002060962677958179,0.003644659477278396,0.007347198998467275,0.030380121888155424,36,0,24,0.65,0.05,0.0,0.0,3.683333333333333,2.0,3,2.0,2.0,0.45
F — Overall Paper Candidate,1,general,PureGram,fixed,60,12,5,1.0,,1.0,1.0,1.0,0.0028057865481635183,0.023345051908637626,0.04199893248252369,0.10236520561401727,24,0,36,0.4,0.3,0.03333333333333333,0.0,6.241666666666666,1.0,3,1.0,1.0,0.7908554316799039
F — Overall Paper Candidate,2,RBF-k16 embedding,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.014879570034488216,0.0009215682546608411,0.0017642761293988223,0.0035632696714541262,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,3,2.0,2.0,0.7
F — Overall Paper Candidate,3,general,GuardedGram-G2-g0p0-t01,G2,60,12,5,0.75,,0.5000000032847328,0.75,0.75,-0.0015429733208479428,0.0044523414483534935,0.006240983498082817,0.007776685174232934,33,3,24,0.5666666666666667,0.0,0.0,0.13333333333333333,3.725,2.0,3,2.0,2.0,0.7
F — Overall Paper Candidate,4,general,Raw+Gram@0.75,fixed,60,12,5,0.75,,0.75,0.75,0.75,-0.0012476968712435592,0.009824363840537073,0.01897396642783858,0.06283305839194868,30,0,30,0.5166666666666667,0.1,0.016666666666666666,0.0,4.458333333333333,2.0,3,2.0,2.0,0.6474119839325869
F — Overall Paper Candidate,5,general,BlockGuard-Greedy-t01,BlockGuard-Greedy,60,12,5,,0.875,0.09089795076023294,0.7219026058640082,1.0,0.0,0.010837112884274273,0.020325156564873582,0.07375309550384934,27,6,27,0.45,0.13333333333333333,0.016666666666666666,0.26666666666666666,5.258333333333334,1.0,3,23.5,1.0,0.6434209451616888
F — Overall Paper Candidate,6,general,SafeRankGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999998494918,1.0,-0.00036947169749669393,0.0009477369314062283,0.0018456645577626205,0.02081152672633039,35,16,9,0.5333333333333333,0.016666666666666666,0.0,0.4,3.4833333333333334,1.0,3,2.0,2.0,0.4999999998494918
F — Overall Paper Candidate,7,general,SafeGram-t01,safety_reference,60,12,5,0.5,,0.0,0.49999999965326775,1.0,-0.00033673408683653443,0.0019611711181111175,0.005568871185138683,0.010580758338811622,32,15,13,0.5166666666666667,0.016666666666666666,0.0,0.3333333333333333,4.2,1.0,3,2.0,2.0,0.49999999965326775
F — Overall Paper Candidate,8,general,Raw+Gram@0.5,fixed,60,12,5,0.5,,0.5,0.5,0.5,-0.002060962677958179,0.003644659477278396,0.007347198998467275,0.030380121888155424,36,0,24,0.65,0.05,0.0,0.0,3.683333333333333,2.0,3,2.0,2.0,0.45
F — Overall Paper Candidate,9,general,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,3,1.0,1.0,0.0
