ranking,rank,scope,method,family,units,datasets,model_families,median_alpha,median_invariant_feature_fraction,p25_disagreement_reduction,median_disagreement_reduction,p75_disagreement_reduction,median_C,p90_C,p95_C,max_C,wins,ties,losses,fraction_C_lt_0,fraction_C_gt_0p01,fraction_C_gt_0p05,fallback_rate,mean_predictive_rank,inference_multiplier,minimum_seeds_per_unit,training_multiplier,parameter_multiplier,paper_score
C — Basis Control,8,general,SafeGram-t01,safety_reference,60,12,5,0.5,,0.0,0.49999999965326775,1.0,-0.0004833884691861155,0.00264544216277923,0.007710900454496401,0.035380860232390565,32,15,13,0.5166666666666667,0.03333333333333333,0.0,0.3333333333333333,4.2,1.0,3,2.0,2.0,0.49999999965326775
C — Basis Control,9,general,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,3,1.0,1.0,0.0
D — Predictive Performance,1,RBF-k16 embedding,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.030651314639136954,0.0017955198785749716,0.002646678853079054,0.006437108392857363,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,3,2.0,2.0,0.7
D — Predictive Performance,2,general,SafeRankGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999998494918,1.0,-0.0005096036290019909,0.0012571315651165248,0.0024879489168754907,0.05827382925509988,35,16,9,0.5333333333333333,0.03333333333333333,0.016666666666666666,0.4,3.4833333333333334,1.0,3,2.0,2.0,0.48345234133929205
D — Predictive Performance,3,general,Raw+Gram@0.5,fixed,60,12,5,0.5,,0.5,0.5,0.5,-0.003315637545419057,0.009201306957595646,0.04134804769187533,1.0075553425851396,36,0,24,0.65,0.1,0.05,0.0,3.683333333333333,2.0,3,2.0,2.0,-1.5591548282459051
D — Predictive Performance,4,general,GuardedGram-G2-g0p0-t01,G2,60,12,5,0.75,,0.5000000032847328,0.75,0.75,-0.0025697508931633107,0.010668569072199218,0.017501829990038027,0.24694695217184615,33,3,24,0.5666666666666667,0.11666666666666667,0.016666666666666666,0.13333333333333333,3.725,2.0,3,2.0,2.0,0.28360060568619366
D — Predictive Performance,5,general,SafeGram-t01,safety_reference,60,12,5,0.5,,0.0,0.49999999965326775,1.0,-0.0004833884691861155,0.00264544216277923,0.007710900454496401,0.035380860232390565,32,15,13,0.5166666666666667,0.03333333333333333,0.0,0.3333333333333333,4.2,1.0,3,2.0,2.0,0.49999999965326775
D — Predictive Performance,6,general,Raw+Gram@0.75,fixed,60,12,5,0.75,,0.75,0.75,0.75,-0.0022726814158307725,0.027928197576164108,0.08722370667591708,2.4582635911653785,30,0,30,0.5166666666666667,0.23333333333333334,0.1,0.0,4.458333333333333,2.0,3,2.0,2.0,-4.348198302358509
D — Predictive Performance,7,general,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,3,1.0,1.0,0.0
D — Predictive Performance,8,general,BlockGuard-Greedy-t01,BlockGuard-Greedy,60,12,5,,0.875,0.09089795076023294,0.7219026058640082,1.0,0.0,0.033491877149518914,0.04756698324664463,2.163545391795535,27,6,27,0.45,0.18333333333333332,0.05,0.26666666666666666,5.258333333333334,1.0,3,23.5,1.0,-3.6178891274669964
D — Predictive Performance,9,general,PureGram,fixed,60,12,5,1.0,,1.0,1.0,1.0,0.006929963548133743,0.12266680830733594,0.1808341690654031,4.503634112751238,24,0,36,0.4,0.4,0.21666666666666667,0.0,6.241666666666666,1.0,3,1.0,1.0,-8.440560623343085
E — Efficiency,1,general,PureGram,fixed,60,12,5,1.0,,1.0,1.0,1.0,0.006929963548133743,0.12266680830733594,0.1808341690654031,4.503634112751238,24,0,36,0.4,0.4,0.21666666666666667,0.0,6.241666666666666,1.0,3,1.0,1.0,-8.440560623343085
E — Efficiency,2,general,BlockGuard-Greedy-t01,BlockGuard-Greedy,60,12,5,,0.875,0.09089795076023294,0.7219026058640082,1.0,0.0,0.033491877149518914,0.04756698324664463,2.163545391795535,27,6,27,0.45,0.18333333333333332,0.05,0.26666666666666666,5.258333333333334,1.0,3,23.5,1.0,-3.6178891274669964
E — Efficiency,3,general,GuardedGram-G2-g0p0-t01,G2,60,12,5,0.75,,0.5000000032847328,0.75,0.75,-0.0025697508931633107,0.010668569072199218,0.017501829990038027,0.24694695217184615,33,3,24,0.5666666666666667,0.11666666666666667,0.016666666666666666,0.13333333333333333,3.725,2.0,3,2.0,2.0,0.28360060568619366
E — Efficiency,4,general,Raw+Gram@0.75,fixed,60,12,5,0.75,,0.75,0.75,0.75,-0.0022726814158307725,0.027928197576164108,0.08722370667591708,2.4582635911653785,30,0,30,0.5166666666666667,0.23333333333333334,0.1,0.0,4.458333333333333,2.0,3,2.0,2.0,-4.348198302358509
E — Efficiency,5,RBF-k16 embedding,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.030651314639136954,0.0017955198785749716,0.002646678853079054,0.006437108392857363,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,3,2.0,2.0,0.7
E — Efficiency,6,general,Raw+Gram@0.5,fixed,60,12,5,0.5,,0.5,0.5,0.5,-0.003315637545419057,0.009201306957595646,0.04134804769187533,1.0075553425851396,36,0,24,0.65,0.1,0.05,0.0,3.683333333333333,2.0,3,2.0,2.0,-1.5591548282459051
F — Overall Paper Candidate,1,RBF-k16 embedding,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.030651314639136954,0.0017955198785749716,0.002646678853079054,0.006437108392857363,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,3,2.0,2.0,0.7
F — Overall Paper Candidate,2,general,SafeGram-t01,safety_reference,60,12,5,0.5,,0.0,0.49999999965326775,1.0,-0.0004833884691861155,0.00264544216277923,0.007710900454496401,0.035380860232390565,32,15,13,0.5166666666666667,0.03333333333333333,0.0,0.3333333333333333,4.2,1.0,3,2.0,2.0,0.49999999965326775
F — Overall Paper Candidate,3,general,SafeRankGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999998494918,1.0,-0.0005096036290019909,0.0012571315651165248,0.0024879489168754907,0.05827382925509988,35,16,9,0.5333333333333333,0.03333333333333333,0.016666666666666666,0.4,3.4833333333333334,1.0,3,2.0,2.0,0.48345234133929205
F — Overall Paper Candidate,4,general,GuardedGram-G2-g0p0-t01,G2,60,12,5,0.75,,0.5000000032847328,0.75,0.75,-0.0025697508931633107,0.010668569072199218,0.017501829990038027,0.24694695217184615,33,3,24,0.5666666666666667,0.11666666666666667,0.016666666666666666,0.13333333333333333,3.725,2.0,3,2.0,2.0,0.28360060568619366
F — Overall Paper Candidate,5,general,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,3,1.0,1.0,0.0
F — Overall Paper Candidate,6,general,Raw+Gram@0.5,fixed,60,12,5,0.5,,0.5,0.5,0.5,-0.003315637545419057,0.009201306957595646,0.04134804769187533,1.0075553425851396,36,0,24,0.65,0.1,0.05,0.0,3.683333333333333,2.0,3,2.0,2.0,-1.5591548282459051
F — Overall Paper Candidate,7,general,BlockGuard-Greedy-t01,BlockGuard-Greedy,60,12,5,,0.875,0.09089795076023294,0.7219026058640082,1.0,0.0,0.033491877149518914,0.04756698324664463,2.163545391795535,27,6,27,0.45,0.18333333333333332,0.05,0.26666666666666666,5.258333333333334,1.0,3,23.5,1.0,-3.6178891274669964
F — Overall Paper Candidate,8,general,Raw+Gram@0.75,fixed,60,12,5,0.75,,0.75,0.75,0.75,-0.0022726814158307725,0.027928197576164108,0.08722370667591708,2.4582635911653785,30,0,30,0.5166666666666667,0.23333333333333334,0.1,0.0,4.458333333333333,2.0,3,2.0,2.0,-4.348198302358509
F — Overall Paper Candidate,9,general,PureGram,fixed,60,12,5,1.0,,1.0,1.0,1.0,0.006929963548133743,0.12266680830733594,0.1808341690654031,4.503634112751238,24,0,36,0.4,0.4,0.21666666666666667,0.0,6.241666666666666,1.0,3,1.0,1.0,-8.440560623343085
