comparison,source,percent_reduction
pair32,compustat_kor_direction,9.44237207768619
pair32,kdd17_stock_direction,7.609043869112641
pair32,openml-adult-1590,7.659244761169804
pair32,openml-bank-marketing-1461,7.137605665845193
pair32,openml-churn-40701,6.9438954325683255
pair32,openml-colic-25,7.115645886346355
pair32,openml-credit-approval-29,9.052832145793388
pair32,openml-credit-g-31,9.90630758499269
pair32,openml-hepatitis-55,3.7711538989178894
pair32,openml-kr-vs-kp-3,8.987178592303447
pair32,openml-mushroom-24,8.010957012641517
pair32,openml-sick-38,6.879837957942159
pair32,openml-tic-tac-toe-50,5.498795010220192
pair32,openml-titanic-40945,7.462590859341178
pair32,openml-vote-56,10.216037703565783
pack64,compustat_kor_direction,20.419028747417663
pack64,kdd17_stock_direction,20.89417993466685
pack64,openml-adult-1590,18.599995023235106
pack64,openml-bank-marketing-1461,20.186217877771007
pack64,openml-churn-40701,18.307012541896704
pack64,openml-colic-25,22.146391842816747
pack64,openml-credit-approval-29,16.59517482946424
pack64,openml-credit-g-31,24.175272576083795
pack64,openml-hepatitis-55,19.880947777411208
pack64,openml-kr-vs-kp-3,17.919820537602593
pack64,openml-mushroom-24,18.3721923958993
pack64,openml-sick-38,19.27316090310288
pack64,openml-tic-tac-toe-50,17.547258352671857
pack64,openml-titanic-40945,16.609115790821505
pack64,openml-vote-56,19.868104453560488
unbiased_pair_cross64,compustat_kor_direction,7.676754066759872
unbiased_pair_cross64,kdd17_stock_direction,6.37437464356867
unbiased_pair_cross64,openml-adult-1590,3.702841600449369
unbiased_pair_cross64,openml-bank-marketing-1461,5.4197942566425406
unbiased_pair_cross64,openml-churn-40701,9.111939777274113
unbiased_pair_cross64,openml-colic-25,9.874310009165388
unbiased_pair_cross64,openml-credit-approval-29,3.3006450160356198
unbiased_pair_cross64,openml-credit-g-31,6.067625798192989
unbiased_pair_cross64,openml-hepatitis-55,9.074059086235897
unbiased_pair_cross64,openml-kr-vs-kp-3,5.888479992005902
unbiased_pair_cross64,openml-mushroom-24,9.702866118453825
unbiased_pair_cross64,openml-sick-38,9.04396440816624
unbiased_pair_cross64,openml-tic-tac-toe-50,6.453230866961068
unbiased_pair_cross64,openml-titanic-40945,9.116252700620297
unbiased_pair_cross64,openml-vote-56,9.287286248620765
