dataset,model,seed,method,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m0,True,2.304909007366193e-15,2.2921483307067072e-15,2.321766014014411e-15
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m1,True,2.831282240024837e-15,2.7939238164229737e-15,2.845987624711093e-15
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m2,True,2.512395112016949e-15,2.4930627647989038e-15,2.5056380031940933e-15
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m3,True,7.708813120782937e-15,7.694279723608042e-15,7.632228402338063e-15
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m4,True,3.674042396605769e-15,3.6776799351440675e-15,3.690697438377363e-15
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m5,True,3.191338453363326e-15,3.1870344310918013e-15,3.1881421401509112e-15
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m6,True,2.1626544969285264e-15,2.1686285027877183e-15,2.179798147955281e-15
phoneme,tabm_d,1,PCA,pca__v1__orthogonal_all__m7,True,4.160304127432091e-15,4.150887175038124e-15,4.170669178663405e-15
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,8.833042838441437e-16,8.920132745691197e-16,9.188099243097925e-16
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.0458260644849336e-15,1.0495020055832347e-15,1.025142035901955e-15
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,9.337905293592472e-16,9.518880835128275e-16,9.702001622399205e-16
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,9.619182716554879e-16,9.781300236204412e-16,9.687936261393102e-16
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,1.4985805928465062e-15,1.525214099430908e-15,1.5269589046311825e-15
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,9.255380879085564e-16,9.338382087300644e-16,9.38665146520606e-16
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,9.157128842435912e-16,9.371020747528404e-16,9.38043622732575e-16
phoneme,tabm_d,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.4673551193185712e-15,1.4849562905643164e-15,1.4880591843294179e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,1.1614267634728341e-15,1.1998348597064604e-15,1.2263680798604446e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,1.330401103628045e-15,1.3700892581255e-15,1.3306824940187305e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,1.2123366989402313e-15,1.2634015751653812e-15,1.279258928311821e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,1.2258129428493403e-15,1.2881293779545858e-15,1.2612360726840835e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,2.0485570660932307e-15,2.1278152783755705e-15,2.122655143335911e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,1.2167628642477797e-15,1.2492335560518892e-15,1.2533559226207025e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,1.1253927617352181e-15,1.1854057342978606e-15,1.1710230982728288e-15
phoneme,tabm_d,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,1.9897976097218454e-15,2.055049096018806e-15,2.0522240538652336e-15
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m0,True,7.66551258383741e-16,7.688399939012617e-16,7.765499702302623e-16
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m1,True,7.885428792700196e-16,7.906650264961738e-16,8.085870284816219e-16
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m2,True,7.983442088392428e-16,8.008172068188063e-16,8.106201036601327e-16
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m3,True,7.876548453996638e-16,7.948997886954322e-16,7.993586792575714e-16
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m4,True,8.14312483282392e-16,8.1996229887967305e-16,8.214056549975281e-16
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m5,True,8.095521810944417e-16,8.156410494775211e-16,8.231785576958975e-16
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m6,True,7.866186358515629e-16,7.804154639489754e-16,7.975771928930499e-16
phoneme,tabm_d,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m7,True,8.294379399845753e-16,8.344946232596159e-16,8.518474515763963e-16
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m0,True,3.153825305772102e-14,3.4756052578532904e-14,3.1714806670669477e-14
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m1,True,1.617842560874301e-15,1.6909873310131784e-15,1.6453553741319706e-15
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m2,True,1.4968847425189677e-15,1.592695708789412e-15,1.5943496310923503e-15
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m3,True,3.110155620679152e-14,3.409003007398306e-14,3.14017769344496e-14
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m4,True,5.763594041464956e-14,6.10398570937298e-14,5.971949338238939e-14
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m5,True,5.759422366183358e-14,6.0997038100784e-14,5.968480580946641e-14
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m6,True,1.3222681839011738e-15,1.4280133817741822e-15,1.3832715933406532e-15
phoneme,tabm_d,1,NystromGram,nystrom_gram__nystrom_degeneracy_v3__orthogonal_all__m7,True,1.7988154515912216e-10,1.4121012256881253e-10,1.429091684453451e-10
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m0,True,3.927353930989355e-15,3.741592391014104e-15,3.820877717115338e-15
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m1,True,3.904077810951624e-15,3.6463308618788246e-15,3.74849949974395e-15
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m2,True,4.888023578583131e-15,4.47813870457066e-15,4.53180011868324e-15
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m3,True,4.515651281053011e-15,4.283800706991498e-15,4.364927443302738e-15
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m4,True,3.4932720173210975e-15,3.3221385572221173e-15,3.366446665281474e-15
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m5,True,4.049080296610521e-15,3.887614345917425e-15,3.923922741473313e-15
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m6,True,4.9265371692138554e-15,4.272502712779428e-15,4.191597219323526e-15
phoneme,tabm_d,1,HybridSpectral-t0.01,hybrid_spectral__pivot_tie_v2__orthogonal_all__m7,True,4.3510317019267475e-15,4.0457457526276656e-15,4.201839484592977e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m0,True,3.927353930989355e-15,3.741592391014104e-15,3.820877717115338e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m1,True,3.904077810951624e-15,3.6463308618788246e-15,3.74849949974395e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m2,True,4.888023578583131e-15,4.47813870457066e-15,4.53180011868324e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m3,True,4.515651281053011e-15,4.283800706991498e-15,4.364927443302738e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m4,True,3.4932720173210975e-15,3.3221385572221173e-15,3.366446665281474e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m5,True,4.049080296610521e-15,3.887614345917425e-15,3.923922741473313e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m6,True,4.9265371692138554e-15,4.272502712779428e-15,4.191597219323526e-15
phoneme,tabm_d,1,HybridSpectral-t0.05,hybrid_spectral__pivot_tie_v2__orthogonal_all__m7,True,4.3510317019267475e-15,4.0457457526276656e-15,4.201839484592977e-15
phoneme,tabm_d,1,HybridSpectral-t0.10,hybrid_spectral__pivot_tie_v2__orthogonal_all__m0,True,3.927353930989355e-15,3.741592391014104e-15,3.820877717115338e-15
phoneme,tabm_d,1,HybridSpectral-t0.10,hybrid_spectral__pivot_tie_v2__orthogonal_all__m1,True,3.904077810951624e-15,3.6463308618788246e-15,3.74849949974395e-15
phoneme,tabm_d,1,HybridSpectral-t0.10,hybrid_spectral__pivot_tie_v2__orthogonal_all__m2,True,4.888023578583131e-15,4.47813870457066e-15,4.53180011868324e-15
phoneme,tabm_d,1,HybridSpectral-t0.10,hybrid_spectral__pivot_tie_v2__orthogonal_all__m3,True,4.515651281053011e-15,4.283800706991498e-15,4.364927443302738e-15
phoneme,tabm_d,1,HybridSpectral-t0.10,hybrid_spectral__pivot_tie_v2__orthogonal_all__m4,True,3.4932720173210975e-15,3.3221385572221173e-15,3.366446665281474e-15
phoneme,tabm_d,1,HybridSpectral-t0.10,hybrid_spectral__pivot_tie_v2__orthogonal_all__m5,True,4.049080296610521e-15,3.887614345917425e-15,3.923922741473313e-15
phoneme,tabm_d,1,HybridSpectral-t0.10,hybrid_spectral__pivot_tie_v2__orthogonal_all__m6,True,4.9265371692138554e-15,4.272502712779428e-15,4.191597219323526e-15
