dataset,problem_type,model,seed,feature,feature_index,empirical_rank,block_dimension,spectrum_entropy,largest_nonzero_singular_value,smallest_nonzero_singular_value,condition_proxy,mean_gram_diagonal,embedding_type,raw_input_block_orbit_relative_frobenius,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,raw_one_block_orbit_disagreement,basis_disagreement_benefit,gram_one_block_validation_loss,gram_one_block_fit_seconds,raw_one_block_fit_seconds,selection_split
mfeat-fourier,classification,tabicl_v2,2,att1,0,8,8,1.1207841413757034,32.279895543951014,0.3230934855409263,99.90884059425616,1.7859793858197568,RBF,1.3401096899848284,0.3146558684178442,0.3158204652659138,2.302573656302008,0.0011645968480695768,0.0037011763166071377,1.9879177878841638,0.000585837530690398,False,0.015170720650977697,0.015170720650977697,0.3158204652659138,2.412167354952544,15.385977991390973,validation_only
mfeat-fourier,classification,tabicl_v2,2,att2,1,8,8,1.1608545895717701,30.250645428607346,0.5915163878799373,51.14084080921094,1.6739144504989443,RBF,1.4090670241952958,0.3146558684178442,0.3052954936122264,2.302573656302008,-0.0093603748056178,-0.029747974676854843,1.9879177878841638,-0.004708632752655478,False,0.01296467051236188,0.01296467051236188,0.3052954936122264,1.3064917181618512,15.148215872002766,validation_only
mfeat-fourier,classification,tabicl_v2,2,att3,2,8,8,1.1901967945265415,29.03048463142521,0.8436851455144658,34.409145148244704,1.5742581540762375,RBF,1.494212357082473,0.3146558684178442,0.311965743700775,2.302573656302008,-0.0026901247170691978,-0.008549418546031605,1.9879177878841638,-0.0013532374092453925,False,0.016833372145432516,0.016833372145432516,0.311965743700775,2.011071966961026,15.281365198781714,validation_only
mfeat-fourier,classification,tabicl_v2,2,att4,3,8,8,1.0613332736870342,31.111552506635473,0.6207758418133993,50.11720883943061,1.5215434175024025,RBF,1.4005350759237796,0.3146558684178442,0.3170442833135523,2.302573656302008,0.0023884148957080686,0.007590562056628787,1.9879177878841638,0.0012014656291446403,False,0.009586713183775075,0.009586713183775075,0.3170442833135523,1.3634374651592225,12.617096496978775,validation_only
mfeat-fourier,classification,tabicl_v2,2,att5,4,8,8,1.1466468844277338,30.09066306379238,0.6255519682754801,48.10257914581619,1.5083120468226774,RBF,1.2232023286415536,0.3146558684178442,0.309773802015032,2.302573656302008,-0.004882066402812191,-0.01551557397406966,1.9879177878841638,-0.002455869368726967,False,0.013556972491620089,0.013556972491620089,0.309773802015032,0.5304855890572071,12.987277653999627,validation_only
mfeat-fourier,classification,tabicl_v2,2,att6,5,8,8,1.1109165227238464,30.906114029375694,0.5011917038895058,61.66525461121628,1.5697279905930341,RBF,1.3382778009401584,0.3146558684178442,0.31171633580977876,2.302573656302008,-0.002939532608065454,-0.00934205556961655,1.9879177878841638,-0.0014786992832304898,False,0.014496815050318483,0.014496815050318483,0.31171633580977876,2.115370284067467,11.153666301397607,validation_only
mfeat-fourier,classification,tabicl_v2,2,att7,6,8,8,0.802762727732178,40.57456731126333,0.07686260972370221,527.8843309785682,2.104985683929253,RBF,1.4355307624148965,0.3146558684178442,0.31648299173210837,2.302573656302008,0.0018271233142641563,0.005806735222995573,1.9879177878841638,0.0009191141230286245,False,0.012386667631466662,0.012386667631466662,0.31648299173210837,2.029944970039651,12.143400380853564,validation_only
mfeat-fourier,classification,tabicl_v2,2,att8,7,8,8,1.2047070772505846,28.47403141521166,0.7502225525728434,37.954112839665605,1.6019326809925816,RBF,1.4117554228411526,0.3146558684178442,0.3076461910890974,2.302573656302008,-0.0070096773287467995,-0.02227728141220734,1.9879177878841638,-0.003526140452824025,False,0.014444734194558929,0.014444734194558929,0.3076461910890974,1.3722589979879558,12.076643445296213,validation_only
mfeat-fourier,classification,tabicl_v2,2,att9,8,8,8,1.0747031303929226,30.079152943548284,0.7345791853968188,40.94746154194331,1.5010851330844743,RBF,1.4617546737737435,0.3146558684178442,0.3149819117444209,2.302573656302008,0.0003260433265767082,0.001036190197933134,1.9879177878841638,0.00016401248007531124,False,0.020112415228005102,0.020112415228005102,0.3149819117444209,1.63995105586946,11.057489914819598,validation_only
mfeat-fourier,classification,tabicl_v2,2,att10,9,8,8,1.0001349056716244,33.8473763606542,0.25071769512970765,135.0019444903696,1.7263814038226686,RBF,1.4568125192662615,0.3146558684178442,0.3220875073680151,2.302573656302008,0.007431638950170905,0.02361830716057751,1.9879177878841638,0.003738403567524165,False,0.012157654414515058,0.012157654414515058,0.3220875073680151,1.7002357789315283,11.072902763728052,validation_only
