dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
bike-sharing,regression,controlled_mlp,1,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,67.66814686879661,0.16018009424609633,0.40480794408358634
bike-sharing,regression,controlled_mlp,1,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,71.073398307443,0.1422435003310091,0.40480794408358634
bike-sharing,regression,controlled_mlp,1,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,1.0,0.001,74.40755531969857,0.14529382778679586,0.4507951841223985
bike-sharing,regression,controlled_mlp,1,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,1.0,0.001,78.63266746492822,0.16464778389370052,0.4507951841223985
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,77.14474049090454,0.0,0.6075399790424854
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,82.46750682915459,0.0,0.6075399790424854
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.002,77.14475352029294,1.8340894437004186e-06,0.5878335458692163
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.002,82.46751406716557,1.5208496794301272e-06,0.5878335458692163
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.002,77.14474842226872,1.3913622830810026e-06,0.620374261168763
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.002,82.4675166265934,1.278252091036839e-06,0.620374261168763
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.002,77.14476874644222,2.003341789953225e-06,0.5919333521742374
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.002,82.46752739849072,1.728423239240572e-06,0.5919333521742374
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.002,77.14475314361897,1.753167606637404e-06,0.5143856140784919
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.002,82.46752165766641,1.5382199237694266e-06,0.5143856140784919
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,77.14474819188027,7.923652418468867e-07,0.5445737361442298
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,82.46750551162727,6.997362065299681e-07,0.5445737361442298
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.002,77.14476313879136,1.964392584184226e-06,0.5826563569717109
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.002,82.46753097755271,1.6974673852243655e-06,0.5826563569717109
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,77.14475994247204,1.8026605888144545e-06,0.609710156917572
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,82.46752830502723,1.5494290284902104e-06,0.609710156917572
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.002,77.14474489244003,6.111963172678282e-07,0.6026535879354924
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.002,82.46752162359604,6.053090671177847e-07,0.6026535879354924
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,71.6695956815815,0.0,0.9407760200556368
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,74.25442028422057,0.0,0.9407760200556368
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.002,71.66958320424077,3.385099420366107e-06,0.940803610952571
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.002,74.25428808782924,3.75584264435654e-06,0.940803610952571
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.002,71.66959588233964,2.0323498044466644e-06,0.9652435730677098
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.002,74.25434322071042,2.2074269824272227e-06,0.9652435730677098
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.002,71.66961888039432,5.916003525352108e-07,0.9186648740433156
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.002,74.2544187196507,5.309026350491395e-07,0.9186648740433156
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.002,71.66961258945447,6.391858347367096e-07,0.9181449499446899
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.002,74.25444289245998,7.239236632736333e-07,0.9181449499446899
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,71.66962764782339,7.630843056002601e-07,0.895700923865661
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,74.25443004278311,7.299652163325929e-07,0.895700923865661
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.002,71.66960352121318,7.262292427384926e-07,0.9041142868809402
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.002,74.25439899133656,6.762721407041649e-07,0.9041142868809402
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,71.66961558361656,5.665791089634701e-07,0.927313530119136
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,74.25442949098506,6.244321718201488e-07,0.927313530119136
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.002,71.66960089493266,1.0051310508141294e-06,0.9202840919606388
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.002,74.25439005580768,9.74163637751721e-07,0.9202840919606388
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.002,77.11019659420032,0.0,0.6035072458907962
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.002,81.91723887300358,0.0,0.6035072458907962
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.002,77.0409824509563,0.014081083814819963,0.6215917868539691
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.002,82.08890158140333,0.014889270730324863,0.6215917868539691
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.002,77.19387252887138,0.02929829911295864,0.6226055240258574
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.002,82.32792148022638,0.026166295572361456,0.6226055240258574
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.002,77.05263924663629,0.007852709612663631,0.5815840549767017
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.002,81.64660359787365,0.007958349324856596,0.5815840549767017
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.002,76.9859932391203,0.019896387057119793,0.6121785680297762
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.002,81.38814653853841,0.021476081543809318,0.6121785680297762
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.002,77.19347170049622,0.009238997430821835,0.5968337638769299
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.002,82.07877607473236,0.008568771305805231,0.5968337638769299
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.002,76.96540312024368,0.007863346112767124,0.5724201819393784
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.002,81.69628364266816,0.007816803708918893,0.5724201819393784
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.002,76.97580148463351,0.008181296294420779,0.5669372431002557
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.002,81.62870620874997,0.009165435029402263,0.5669372431002557
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.002,77.08406948672643,0.0069500304044757,0.515514028025791
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.002,81.96960580286401,0.007047489412257459,0.515514028025791
