Source,Correct MPE,Mean corrupt MPE,Wins,Cells
ACS,0.6274685250312965,0.675987808186413,10,10
BTS,1.0968807425953735,1.0975270269149668,7,9
CITI_BIKE,1.0184830561116451,1.029005974434151,3,3
NYC_TLC,0.9304289110413134,1.1588735450477392,6,6
STRING_BENCHMARK,1.0320337794212533,1.205591715532144,9,10
