dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
phoneme,classification,tabm_d,0,Raw+GramDistance@0.75,hybrid_prediction_mixture,validation,0.0247166643380566,0.0322206151724276,0.2858831624472317,0.2871091103214389,0.290690692291735,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.7500000000257002,0.0339863742065469,0.0388916732715447,False,28.0
phoneme,classification,tabm_d,0,Raw+GramDistance@1,hybrid_prediction_mixture,test,0.0,0.0,0.3266294700712109,0.3266294700712109,0.3266294700712109,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,1.0,-0.0255899584119545,0.064669485442472,False,19.5
phoneme,classification,tabm_d,0,Raw+GramDistance@1,hybrid_prediction_mixture,validation,0.0,0.0,0.298208561010871,0.298208561010871,0.298208561010871,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,1.0,0.0785650547499326,0.0140354036460916,False,38.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@0.25,hybrid_prediction_mixture,test,0.0693251504720115,0.0892419272578442,0.3269804020906527,0.3298846550882541,0.3343552482782826,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.2500000009929186,-0.0245430483349663,0.0425460802757481,False,23.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@0.25,hybrid_prediction_mixture,validation,0.0741499930323687,0.096661845540003,0.272388399228082,0.2772108023716191,0.2925013691302968,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.2499999998930278,-0.0148216814071515,0.0329050468239061,False,7.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@0.5,hybrid_prediction_mixture,test,0.046216766920155,0.0594946180753207,0.3266066499348848,0.3296071187911168,0.3329733289396944,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.5000000013238913,-0.0256580360718843,0.0465033206489359,False,16.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@0.5,hybrid_prediction_mixture,validation,0.0494333286952965,0.0644412302503268,0.2749011988488253,0.2776368980842063,0.286825520110247,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.4999999998573698,-0.0057333512420634,0.0516710613509509,False,14.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@0.75,hybrid_prediction_mixture,test,0.0231083834294845,0.0297473089893727,0.3319155886307927,0.3338541747515008,0.3359228773577822,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.7500000009929186,-0.0098202637657291,0.0380570446928779,False,32.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@0.75,hybrid_prediction_mixture,validation,0.0247166643511735,0.0322206150703258,0.2818559732106717,0.2824542389885599,0.2868349645185793,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.7499999998930276,0.0194207776834465,0.0516398353787064,False,24.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@1,hybrid_prediction_mixture,test,0.0,0.0,0.3440795228233782,0.3440795228233782,0.3440795228233782,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,1.0,0.0264675201255634,0.0146998154791883,False,46.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.01@1,hybrid_prediction_mixture,validation,0.0,0.0,0.2936773944652649,0.2936773944652649,0.2936773944652649,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,1.0,0.0621766657755311,0.0290167636010393,False,32.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@0.25,hybrid_prediction_mixture,test,0.0693251504720115,0.0892419272578442,0.3269804020906527,0.3298846550882541,0.3343552482782826,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.2500000009929186,-0.0245430483349663,0.0425460802757481,False,23.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@0.25,hybrid_prediction_mixture,validation,0.0741499930323687,0.096661845540003,0.272388399228082,0.2772108023716191,0.2925013691302968,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.2499999998930278,-0.0148216814071515,0.0329050468239061,False,7.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@0.5,hybrid_prediction_mixture,test,0.046216766920155,0.0594946180753207,0.3266066499348848,0.3296071187911168,0.3329733289396944,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.5000000013238913,-0.0256580360718843,0.0465033206489359,False,16.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@0.5,hybrid_prediction_mixture,validation,0.0494333286952965,0.0644412302503268,0.2749011988488253,0.2776368980842063,0.286825520110247,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.4999999998573698,-0.0057333512420634,0.0516710613509509,False,14.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@0.75,hybrid_prediction_mixture,test,0.0231083834294845,0.0297473089893727,0.3319155886307927,0.3338541747515008,0.3359228773577822,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,0.7500000009929186,-0.0098202637657291,0.0380570446928779,False,32.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@0.75,hybrid_prediction_mixture,validation,0.0247166643511735,0.0322206150703258,0.2818559732106717,0.2824542389885599,0.2868349645185793,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,0.7499999998930276,0.0194207776834465,0.0516398353787064,False,24.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@1,hybrid_prediction_mixture,test,0.0,0.0,0.3440795228233782,0.3440795228233782,0.3440795228233782,0.0,0.092433534085054,0.3352074138510378,0.3492128878375446,1.0,0.0264675201255634,0.0146998154791883,False,46.5
phoneme,classification,tabm_d,0,Raw+HybridSpectral-t0.05@1,hybrid_prediction_mixture,validation,0.0,0.0,0.2936773944652649,0.2936773944652649,0.2936773944652649,0.0,0.0988666573623903,0.2764863924503944,0.3024536196468358,1.0,0.0621766657755311,0.0290167636010393,False,32.5
