dataset,problem_type,model,pipeline,family,variant,scope,repair,reference_id,model_seed,pred_disagreement,task_metric_original,orbit_mean,orbit_worst,orbit_best,orbit_span,orbit_members,probability_mad,js_divergence,label_flip_rate,prediction_rmse_normalized,prediction_pearson,prediction_spearman,kill_effect_magnitude,kill_effect_pass
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,0,0.0,0.3309802459709373,0.3309802459709373,0.3309802459709373,0.3309802459709373,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,1,0.0,0.3300756618168314,0.3300756618168314,0.3300756618168314,0.3300756618168314,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,2,0.0,0.3301257855100953,0.3301257855100953,0.3301257855100953,0.3301257855100953,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0,0.0,0.3262761535878709,0.3262761535878709,0.3262761535878709,0.3262761535878709,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,1,0.0,0.3280838999589675,0.3280838999589675,0.3280838999589675,0.3280838999589675,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,2,0.0,0.3264458483087148,0.3264458483087148,0.3264458483087148,0.3264458483087148,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0,0.0,0.3262761535878709,0.3262761535878709,0.3262761535878709,0.3262761535878709,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,1,0.0,0.3280838999589675,0.3280838999589675,0.3280838999589675,0.3280838999589675,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,2,0.0,0.3264458483087148,0.3264458483087148,0.3264458483087148,0.3264458483087148,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T0,column_permutation,all,none,original__numeric_code,0,0.019030566241867636,0.3297960087357015,0.3298906982896977,0.3345648174138542,0.3266307759423004,0.007934041471553799,8,0.019030566241867636,0.0008619736383577875,0.013427734375,,,,0.013427734375,False
adult,classification,catboost,numeric_code,T0,column_permutation,all,none,original__numeric_code,1,0.020134702407159425,0.3277847724348737,0.332611080433294,0.3371798206207798,0.3291414219086741,0.008038398712105654,8,0.020134702407159425,0.0009542647709209625,0.017333984375,,,,0.017333984375,False
adult,classification,catboost,numeric_code,T0,column_permutation,all,none,original__numeric_code,2,0.02045638640840309,0.3362411919649516,0.329757746083287,0.3333519307675411,0.3257157323877714,0.007636198379769699,8,0.02045638640840309,0.000971000953969525,0.01806640625,,,,0.01806640625,False
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0,0.0,0.3309802459709373,0.3309802459709373,0.3309802459709373,0.3309802459709373,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,1,0.0,0.3300756618168314,0.3300756618168314,0.3300756618168314,0.3300756618168314,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,2,0.0,0.3301257855100953,0.3301257855100953,0.3301257855100953,0.3301257855100953,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0,0.03631498004818163,0.3297960087357015,0.3325554131866466,0.3436979589377447,0.3239849501049456,0.019713008832799084,8,0.03631498004818163,0.00299903388030315,0.036376953125,,,,0.036376953125,True
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,1,0.037611913627250915,0.3277847724348737,0.3302968432775362,0.3414622100623974,0.3164705655756261,0.024991644486771325,8,0.037611913627250915,0.0032263527712052876,0.040283203125,,,,0.040283203125,True
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,2,0.03859770855495241,0.3362411919649516,0.33013708620686644,0.3400842510414987,0.3239552880792328,0.016128962962265903,8,0.03859770855495241,0.00345818388576905,0.03955078125,,,,0.03955078125,True
adult,classification,catboost,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0,0.019292070813466025,0.3297960087357015,0.33139379774432376,0.3352188832235365,0.3277983078296999,0.007420575393836615,8,0.019292070813466025,0.0010626263024769876,0.020263671875,,,,0.020263671875,False
adult,classification,catboost,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,1,0.019918300793342864,0.3277847724348737,0.3298387092125482,0.33473230880906,0.3172233907241392,0.017508918084920833,8,0.019918300793342864,0.001134983774421925,0.020263671875,,,,0.020263671875,False
adult,classification,catboost,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,2,0.01919380261571789,0.3362411919649516,0.3347879673265222,0.3452388911047603,0.3240590566408963,0.02117983446386401,8,0.01919380261571789,0.0010384287021192875,0.020263671875,,,,0.020263671875,False
adult,classification,catboost,numeric_code,T2,affine,all,none,original__numeric_code,0,2.686964622664919e-06,0.3297960087357015,0.32979913800061467,0.3298210428550069,0.3297960087357015,2.5034119305433755e-05,8,2.686964622664919e-06,3.046661565541957e-08,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,all,none,original__numeric_code,1,1.083260222312607e-06,0.3277847724348737,0.3277859981922577,0.3277945784939456,0.3277847724348737,9.806059071915119e-06,8,1.083260222312607e-06,5.848371538439347e-09,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,all,none,original__numeric_code,2,1.2393742674421793e-05,0.3362411919649516,0.3362109756132102,0.336244825596473,0.3361183354092846,0.00012649018718841054,8,1.2393742674421793e-05,1.554624662299606e-07,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,all,standardization,zscore_reference,0,0.0,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,all,standardization,zscore_reference,1,0.0,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,all,standardization,zscore_reference,2,0.0,0.336244825596473,0.336244825596473,0.336244825596473,0.336244825596473,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,one,none,original__numeric_code,0,2.686964622664919e-06,0.3297960087357015,0.32979913800061467,0.3298210428550069,0.3297960087357015,2.5034119305433755e-05,8,2.686964622664919e-06,3.046661565541957e-08,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,one,none,original__numeric_code,1,1.083260222312607e-06,0.3277847724348737,0.3277859981922577,0.3277945784939456,0.3277847724348737,9.806059071915119e-06,8,1.083260222312607e-06,5.848371538439347e-09,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,one,none,original__numeric_code,2,4.1464217703741876e-07,0.3362411919649516,0.3362416461688918,0.336244825596473,0.3362411919649516,3.633631521393621e-06,8,4.1464217703741876e-07,1.1070750603062233e-09,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,one,standardization,zscore_reference,0,0.0,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,one,standardization,zscore_reference,1,0.0,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,affine,one,standardization,zscore_reference,2,0.0,0.336244825596473,0.336244825596473,0.336244825596473,0.336244825596473,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,all,none,original__numeric_code,0,2.686964622664919e-06,0.3297960087357015,0.32979913800061467,0.3298210428550069,0.3297960087357015,2.5034119305433755e-05,8,2.686964622664919e-06,3.046661565541957e-08,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,all,none,original__numeric_code,1,1.083260222312607e-06,0.3277847724348737,0.3277859981922577,0.3277945784939456,0.3277847724348737,9.806059071915119e-06,8,1.083260222312607e-06,5.848371538439347e-09,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,all,none,original__numeric_code,2,4.765696452349712e-07,0.3362411919649516,0.3362417082192277,0.336244825596473,0.3362411919649516,3.633631521393621e-06,8,4.765696452349712e-07,1.3289104393133166e-09,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,all,standardization,zscore_reference,0,0.0,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,all,standardization,zscore_reference,1,0.0,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,all,standardization,zscore_reference,2,0.0,0.336244825596473,0.336244825596473,0.336244825596473,0.336244825596473,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,one,none,original__numeric_code,0,0.0,0.3297960087357015,0.3297960087357015,0.3297960087357015,0.3297960087357015,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,one,none,original__numeric_code,1,0.0,0.3277847724348737,0.3277847724348737,0.3277847724348737,0.3277847724348737,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,one,none,original__numeric_code,2,0.0,0.3362411919649516,0.3362411919649516,0.3362411919649516,0.3362411919649516,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,one,standardization,zscore_reference,0,0.0,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.3298210428550069,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,one,standardization,zscore_reference,1,0.0,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.3277945784939456,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T2,scaling,one,standardization,zscore_reference,2,0.0,0.336244825596473,0.336244825596473,0.336244825596473,0.336244825596473,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0,1.0747858490659675e-05,0.3297960087357015,0.3298085257953542,0.3298210428550069,0.3297960087357015,2.5034119305433755e-05,8,1.0747858490659675e-05,1.218664626216783e-07,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,1,4.333040889250428e-06,0.3277847724348737,0.3277896754644096,0.3277945784939456,0.3277847724348737,9.806059071915119e-06,8,4.333040889250428e-06,2.3393486153757387e-08,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,2,1.9619969819812897e-05,0.3362411919649516,0.3361969956833174,0.3362449418184334,0.3361220852627664,0.00012285655566701692,8,1.9619969819812897e-05,2.3593387533962993e-07,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,0,8.060893867994756e-06,0.3297960087357015,0.329805396530441,0.3298210428550069,0.3297960087357015,2.5034119305433755e-05,8,8.060893867994756e-06,9.139984696625872e-08,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,1,3.249780666937821e-06,0.3277847724348737,0.32778844970702564,0.3277945784939456,0.3277847724348737,9.806059071915119e-06,8,3.249780666937821e-06,1.754511461531804e-08,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,2,1.9190828373948793e-05,0.3362411919649516,0.33619652695163216,0.3362411919649516,0.3361220852627664,0.00011910670218523434,8,1.9190828373948793e-05,2.3477177696717071e-07,0.0,,,,0.0,False
adult,classification,catboost,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0,0.02639033685715801,0.3338027718481684,0.3375835712166416,0.3413519360788903,0.3346853840385582,0.006666552040332119,8,0.02639033685715801,0.0015125962054222375,0.028564453125,,,,0.028564453125,False
adult,classification,catboost,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,1,0.02546711520339795,0.3415119103341788,0.3377797182678819,0.3421974264480717,0.3331219403335411,0.009075486114530629,8,0.02546711520339795,0.0013598469300350876,0.023193359375,,,,0.023193359375,False
adult,classification,catboost,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,2,0.025559385557506826,0.337469431310109,0.34030816113502543,0.3478583668652942,0.333845459336212,0.014012907529082186,8,0.025559385557506826,0.0014353330902687875,0.02734375,,,,0.02734375,False
adult,classification,catboost,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0,0.02457481502783164,0.3338027718481684,0.33521261356844223,0.3407201568087934,0.3310511648806854,0.009668991928107995,8,0.02457481502783164,0.0013094757473939625,0.02392578125,,,,0.02392578125,False
adult,classification,catboost,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,1,0.025376875001693076,0.3415119103341788,0.3387832877391878,0.3441164097972654,0.3364930362667861,0.0076233735304792605,8,0.025376875001693076,0.0013460459056906374,0.022705078125,,,,0.022705078125,False
adult,classification,catboost,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,2,0.0250474287019292,0.337469431310109,0.3383285810060378,0.3421885348980588,0.3330329219937404,0.009155612904318378,8,0.0250474287019292,0.001378395863411375,0.027099609375,,,,0.027099609375,False
adult,classification,catboost,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0,0.025248451276055763,0.3338027718481684,0.33900729080367964,0.3469076625665392,0.332523335060392,0.01438432750614721,8,0.025248451276055763,0.0013625419431147125,0.02783203125,,,,0.02783203125,False
adult,classification,catboost,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,1,0.024306623778405638,0.3415119103341788,0.33799570255553846,0.3419849965911231,0.3342668997140405,0.007718096877082581,8,0.024306623778405638,0.0012716257287608249,0.024169921875,,,,0.024169921875,False
adult,classification,catboost,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,2,0.024112683522192275,0.337469431310109,0.33971200809483615,0.3418925546387651,0.336470988218753,0.005421566420012125,8,0.024112683522192275,0.0012725599703026125,0.024658203125,,,,0.024658203125,False
adult,classification,tabicl_v2,numeric_code,T0,column_permutation,all,none,original__numeric_code,0,0.012049602323268738,0.3269448589893808,0.3262020681908298,0.3278941778217589,0.323562024135354,0.004332153686404883,8,0.012049602323268738,0.000372393748562325,0.010986328125,,,,0.010986328125,False
adult,classification,tabicl_v2,numeric_code,T0,column_permutation,all,none,original__numeric_code,1,0.012049602323268738,0.3269448589893808,0.3262020681908298,0.3278941778217589,0.323562024135354,0.004332153686404883,8,0.012049602323268738,0.000372393748562325,0.010986328125,,,,0.010986328125,False
adult,classification,tabicl_v2,numeric_code,T0,column_permutation,all,none,original__numeric_code,2,0.012049602323268738,0.3269448589893808,0.3262020681908298,0.3278941778217589,0.323562024135354,0.004332153686404883,8,0.012049602323268738,0.000372393748562325,0.010986328125,,,,0.010986328125,False
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0,0.0,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,1,0.0,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,2,0.0,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0,0.0253345601687143,0.3269448589893808,0.3291401401053579,0.3451573616377117,0.3218602310088149,0.023297130628896823,8,0.0253345601687143,0.0016846223920379125,0.03076171875,,,,0.03076171875,True
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,1,0.0253345601687143,0.3269448589893808,0.3291401401053579,0.3451573616377117,0.3218602310088149,0.023297130628896823,8,0.0253345601687143,0.0016846223920379125,0.03076171875,,,,0.03076171875,True
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,2,0.0253345601687143,0.3269448589893808,0.3291401401053579,0.3451573616377117,0.3218602310088149,0.023297130628896823,8,0.0253345601687143,0.0016846223920379125,0.03076171875,,,,0.03076171875,True
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0,0.00528407855629175,0.3269448589893808,0.3265707549749746,0.3286835396675066,0.3235748310385479,0.00510870862895868,8,0.00528407855629175,9.515734588003956e-05,0.00830078125,,,,0.00830078125,False
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,1,0.00528407855629175,0.3269448589893808,0.3265707549749746,0.3286835396675066,0.3235748310385479,0.00510870862895868,8,0.00528407855629175,9.515734588003956e-05,0.00830078125,,,,0.00830078125,False
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,2,0.00528407855629175,0.3269448589893808,0.3265707549749746,0.3286835396675066,0.3235748310385479,0.00510870862895868,8,0.00528407855629175,9.515734588003956e-05,0.00830078125,,,,0.00830078125,False
adult,classification,tabicl_v2,numeric_code,T2,affine,all,none,original__numeric_code,0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,all,none,original__numeric_code,1,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,all,none,original__numeric_code,2,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,all,standardization,zscore_reference,0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,all,standardization,zscore_reference,1,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,all,standardization,zscore_reference,2,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,one,none,original__numeric_code,0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,one,none,original__numeric_code,1,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,one,none,original__numeric_code,2,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,one,standardization,zscore_reference,0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,one,standardization,zscore_reference,1,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,affine,one,standardization,zscore_reference,2,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,none,original__numeric_code,0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,none,original__numeric_code,1,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,none,original__numeric_code,2,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,standardization,zscore_reference,0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,standardization,zscore_reference,1,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,standardization,zscore_reference,2,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,none,original__numeric_code,0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,none,original__numeric_code,1,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,none,original__numeric_code,2,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,standardization,zscore_reference,0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,standardization,zscore_reference,1,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,standardization,zscore_reference,2,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,8,0.0,0.0,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0,0.011335730861934562,0.3269448589893808,0.32785277728404444,0.3311723389196007,0.323816217382434,0.007356121537166693,8,0.011335730861934562,0.000396325165017925,0.01416015625,,,,0.01416015625,False
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,1,0.011335730861934562,0.3269448589893808,0.32785277728404444,0.3311723389196007,0.323816217382434,0.007356121537166693,8,0.011335730861934562,0.000396325165017925,0.01416015625,,,,0.01416015625,False
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,2,0.011335730861934562,0.3269448589893808,0.32785277728404444,0.3311723389196007,0.323816217382434,0.007356121537166693,8,0.011335730861934562,0.000396325165017925,0.01416015625,,,,0.01416015625,False
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,0,4.367391656712105e-06,0.323816217382434,0.32381818367296633,0.3238210295211702,0.32381617785862,4.851662550209301e-06,8,4.367391656712105e-06,1.0444877362937371e-08,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,1,4.367391656712105e-06,0.323816217382434,0.32381818367296633,0.3238210295211702,0.32381617785862,4.851662550209301e-06,8,4.367391656712105e-06,1.0444877362937371e-08,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,2,4.367391656712105e-06,0.323816217382434,0.32381818367296633,0.3238210295211702,0.32381617785862,4.851662550209301e-06,8,4.367391656712105e-06,1.0444877362937371e-08,0.0,,,,0.0,False
adult,classification,tabicl_v2,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0,0.010460879423230224,0.3286511104189969,0.331149214875873,0.332625753643325,0.3287382752005812,0.003887478442743786,8,0.010460879423230224,0.0002510849966768875,0.0107421875,,,,0.0107421875,False
adult,classification,tabicl_v2,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,1,0.010460879423230224,0.3286511104189969,0.331149214875873,0.332625753643325,0.3287382752005812,0.003887478442743786,8,0.010460879423230224,0.0002510849966768875,0.0107421875,,,,0.0107421875,False
adult,classification,tabicl_v2,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,2,0.010460879423230224,0.3286511104189969,0.331149214875873,0.332625753643325,0.3287382752005812,0.003887478442743786,8,0.010460879423230224,0.0002510849966768875,0.0107421875,,,,0.0107421875,False
adult,classification,tabicl_v2,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0,0.009657401537219413,0.3286511104189969,0.3296541423662212,0.3323114188354889,0.3264634783194436,0.0058479405160453135,8,0.009657401537219413,0.0002217079031048375,0.00927734375,,,,0.00927734375,False
adult,classification,tabicl_v2,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,1,0.009657401537219413,0.3286511104189969,0.3296541423662212,0.3323114188354889,0.3264634783194436,0.0058479405160453135,8,0.009657401537219413,0.0002217079031048375,0.00927734375,,,,0.00927734375,False
adult,classification,tabicl_v2,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,2,0.009657401537219413,0.3286511104189969,0.3296541423662212,0.3323114188354889,0.3264634783194436,0.0058479405160453135,8,0.009657401537219413,0.0002217079031048375,0.00927734375,,,,0.00927734375,False
adult,classification,tabicl_v2,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0,0.010855820588378213,0.3286511104189969,0.33110586159449185,0.33214628845611,0.32984403897088,0.0023022494852300013,8,0.010855820588378213,0.0002692707795293625,0.0107421875,,,,0.0107421875,False
adult,classification,tabicl_v2,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,1,0.010855820588378213,0.3286511104189969,0.33110586159449185,0.33214628845611,0.32984403897088,0.0023022494852300013,8,0.010855820588378213,0.0002692707795293625,0.0107421875,,,,0.0107421875,False
adult,classification,tabicl_v2,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,2,0.010855820588378213,0.3286511104189969,0.33110586159449185,0.33214628845611,0.32984403897088,0.0023022494852300013,8,0.010855820588378213,0.0002692707795293625,0.0107421875,,,,0.0107421875,False
